Title,Movie ID,Release Date,Rating,Genre,Synopsis,Language,Movie Link,TV Rating,Appropriateness
Les Broutilles,1455000,2025-03-27,0,"Comedy, Romance",,fr,https://www.themoviedb.org/movie/1455000,N/A,Everyone
Alexandre Trannoy - L’Œuvre invisible,1443572,2025-03-27,0,Documentary,"This profile of director Alexandre Trannoy is profoundly moving. But you would be forgiven for asking 'Alexandre who?' because Trannoy never completed a single film in his 30-year career, despite working on multiple projects and with illustrious names like Jean Rochefort, Anouk Aimée, Lino Ventura and Marlene Dietrich. A fascinating study of a noble dreamer.",fr,https://www.themoviedb.org/movie/1443572,N/A,Everyone
I have something to say,1378243,2025-03-27,0,Comedy,The comedy of a thinking man who wants his philosophical views to be taken seriously when he is nothing but a failed filmmaker.,el,https://www.themoviedb.org/movie/1378243,N/A,Everyone
KUI LELE,1455834,2025-03-27,0,,,es,https://www.themoviedb.org/movie/1455834,N/A,Everyone
Signals of Life,1193011,2025-03-27,0,Documentary,"In Lignan, a village of few souls in the Saint-Barthelemy Valley in the Aosta Valley, an Astronomical Observatory scans the skies every night.  Like a bell tower or a lighthouse, the large telescope marks the time of the small mountain community.  In autumn, the astrophysicist Paolo Calcidese moved into the structure as the sole custodian and inhabitant to carry out his scientific research and experiment with new technologies. Due to a technical accident, however, he will be forced to put aside the stars and solitude to dedicate himself to other forms of life not yet considered: human beings.",it,https://www.themoviedb.org/movie/1193011,N/A,Everyone
Voz Viajante,1452801,2025-03-27,0,Documentary,,es,https://www.themoviedb.org/movie/1452801,N/A,Everyone
A Escrita Delas,1451469,2025-03-27,0,Documentary,Documentary investigates female authorship in literature and whether writing can be defined by gender.,pt,https://www.themoviedb.org/movie/1451469,N/A,Everyone
Danas,1446801,2025-03-27,0,,"Flor, a drag queen, is forced to walk home after a cancelled gig. Along the way, intense heat and sporadic rain test their health and resilience.",tl,https://www.themoviedb.org/movie/1446801,N/A,Everyone
Girls don't cry,1444587,2025-03-27,0,Documentary,,de,https://www.themoviedb.org/movie/1444587,N/A,Everyone
souvenirs salés,1442838,2025-03-27,0,,,xx,https://www.themoviedb.org/movie/1442838,N/A,Everyone
Dimitri Payet ô carioca,1454830,2025-03-27,0,Documentary,,fr,https://www.themoviedb.org/movie/1454830,N/A,Everyone
Les pas perdus,1453411,2025-03-27,0,"Comedy, Horror",,fr,https://www.themoviedb.org/movie/1453411,N/A,Everyone
Spat,1453156,2025-03-27,0,,,fr,https://www.themoviedb.org/movie/1453156,N/A,Everyone
A Certain Light,1451717,2025-03-27,0,,"A Certain Light is a journey through different processes of capturing light using pinhole cameras (pinhole camera in Super 8 format), accompanied by a cassette recorder during the director residency at Nanolab (Daylesford, Australia). It represents a step between the interior and the exterior, between moving forward and going back. It is about the space the director inhabit, the one she walk through and capture over and over again.",xx,https://www.themoviedb.org/movie/1451717,N/A,Everyone
The World's Toughest Ski Race,1461816,2025-03-27,0,Documentary,"Stephan Wilson embarks on an extraordinary journey to conquer Nordenskiöldsloppet, the world’s longest and most grueling ski race. Covering 220 kilometers through the Arctic wilderness, this historic challenge pushes even the toughest endurance athletes to their absolute limits. But for Stephan, the challenge is even greater. Years ago, he could barely stand on skis—he even wore a helmet when he first started learning. Yet, despite his struggles, he fell in love with the sport. Now, driven by sheer curiosity and an unbreakable will, he sets out to test himself against one of the most demanding endurance races on the planet.",sv,https://www.themoviedb.org/movie/1461816,N/A,Everyone
the SCRIPT,1455998,2025-03-27,9,Comedy,"With less than 9 hours left, a writer struggling with writer's block must find creative inspiration before it's too late.",en,https://www.themoviedb.org/movie/1455998,N/A,Everyone
En lista de espera,1455340,2025-03-27,0,Documentary,,es,https://www.themoviedb.org/movie/1455340,N/A,Everyone
Everybody Does It,1455105,2025-03-27,0,Comedy,"When Joel wakes after a night with a girl from out of town, he overhears her talking with her friends and he can’t believe what the hell they are saying. Who are these people? Where are they from? How on earth did they get here?",en,https://www.themoviedb.org/movie/1455105,N/A,Everyone
Worship - (My) Greek Cult Movies,1454995,2025-03-27,0,,"How do we understand cult cinema and which films shaped the term in Greece? ""Latreia"" explores the cult phenomenon mainly through: ""Tsiou"" by Makis Papadimitratou, ""Spirtokouto"" by Yannis Oikonomidis, ""Let the Women Wait"" by Stavros Tsioulis and the episode ""Vietnam"" from ""Everything is a Road"" by Pantelis Voulgaris, gathering testimonies from creators and contributors, as well as people from the journalistic and artistic world.",el,https://www.themoviedb.org/movie/1454995,N/A,Everyone
Till Mia,1454409,2025-03-27,0,Drama,,sv,https://www.themoviedb.org/movie/1454409,N/A,Everyone
Midnight Kill,1452223,2025-03-27,0,,,en,https://www.themoviedb.org/movie/1452223,N/A,Everyone
Amen,1451881,2025-03-27,0,"Comedy, Fantasy",,fr,https://www.themoviedb.org/movie/1451881,N/A,Everyone
Werner Herzog's Day at the Beach,1442852,2025-03-27,0,,,de,https://www.themoviedb.org/movie/1442852,N/A,Everyone
"If you can't larp, you'll cry",1441731,2025-03-27,0,,"If You Can’t Larp, You’ll Cry - is an experimental video performance work featuring Li Yi Fan, Harrison Hall and Mat Spisbah. The work scrutinizes the shift in digital media production brought about by the subscription economy and the implications of not owning but merely accessing software. It explores how these tools have changed the way we communicate, and created new desires for understanding and connection. Through the work, the group speculates that services and hacks to use video technology could construct a new politics of life by projecting a totality yet to come.",en,https://www.themoviedb.org/movie/1441731,N/A,Everyone
À contretemps,1461468,2025-03-27,0,,,fr,https://www.themoviedb.org/movie/1461468,N/A,Everyone
Budo Sento Championship 28,1455496,2025-03-27,0,,"Budo Sento Championship 28 took place on Thursday, March 28, 2025 at the Juan e la Barrera Gymnasium in Mexico City, Mexico.",es,https://www.themoviedb.org/movie/1455496,N/A,Everyone
Tiakola à l'Accor Arena,1455411,2025-03-27,0,Music,,fr,https://www.themoviedb.org/movie/1455411,N/A,Everyone
A Tall Goat and a Blanket,1455143,2025-03-27,0,"Drama, Adventure","A man’s journey through drying off, searching, reaching heights, and the end.",en,https://www.themoviedb.org/movie/1455143,N/A,Everyone
Light Refracting Through a Stained Window,1455072,2025-03-27,0,,"Experiment with light, superimposed images and test footage.",en,https://www.themoviedb.org/movie/1455072,N/A,Everyone
HER MIND - THE LAST SHOW,1454793,2025-03-27,0,Music,"Urias' first concert film, promoting her second studio album, HER MIND. Filmed at Audio, in São Paulo, the tour's closing performance features 27 tracks.",pt,https://www.themoviedb.org/movie/1454793,N/A,Everyone
Vanitas,1453711,2025-03-27,0,Documentary,,zh,https://www.themoviedb.org/movie/1453711,N/A,Everyone
Love Me Render,1449103,2025-03-27,0,"Drama, Comedy",,sv,https://www.themoviedb.org/movie/1449103,N/A,Everyone
Roohrangi,1441704,2025-03-27,0,,"A queer voyage along the labyrinths of dreams, archives and lived histories, Roohrangi navigates the real and the imaginary – traversing the filmmaker’s encounters in a gay-cruising forest-reserve as he retraces the memory of his grandfather’s leucoderma-ridden face. A face on whose white-and-brown patches, he saw a forest of miraculous trees.",en,https://www.themoviedb.org/movie/1441704,N/A,Everyone
Varadouro,1456230,2025-03-27,0,Fantasy,"Ítalo has a date with a man in an abandoned warehouse in Varadouro, but when he gets there he encounters other unexpected things.",pt,https://www.themoviedb.org/movie/1456230,N/A,Everyone
LIPS §§2,1455216,2025-03-27,0,,,fr,https://www.themoviedb.org/movie/1455216,N/A,Everyone
Flosse: Wieso denn Blues,1455206,2025-03-27,0,"Animation, Music",,de,https://www.themoviedb.org/movie/1455206,N/A,Everyone
Darkroom,1454998,2025-03-27,0,,A compilation of scenes from film & television that take place in darkrooms,en,https://www.themoviedb.org/movie/1454998,N/A,Everyone
Learning to Believe with Paranormal Pete,1454969,2025-03-27,0,,Nobody has a story like this one. Pete has returned once again to the paranormal investigation scene. This time he must solve the issue of a sweet married couple's supernatural encounter with an entity from the unknown.,en,https://www.themoviedb.org/movie/1454969,N/A,Everyone
"Written, Directed and Starring Me",1454461,2025-03-27,0,Drama,"An erratic, unstable and absurd producer becomes self-aware that he's in a film. Trying to run away from the camera and audience, his life spirals out of control, escaping by any means necessary.",en,https://www.themoviedb.org/movie/1454461,N/A,Everyone
Vendetta,1454439,2025-03-27,0,,A frustrated student turns vigilante to fight against exit test injustice.,en,https://www.themoviedb.org/movie/1454439,N/A,Everyone
Your lines of my body,1453643,2025-03-27,0,"Drama, Fantasy",A young woman learns to live in a world written by men.,fr,https://www.themoviedb.org/movie/1453643,N/A,Everyone
Hidden Life,1446636,2025-03-27,0,,"Venezuelan refugees speak openly about their lives in the shadows on Curaçao and Aruba. From a deserted soldier to a bricklayer, and from a hospitality entrepreneur to an education specialist. What is it like to live in a legal vacuum, a victim of exploitation and under constant threat of deportation?",en,https://www.themoviedb.org/movie/1446636,N/A,Everyone
ONE,1442795,2025-03-27,0,Documentary,An experimental short about the nature of humans and how we experience ourselves as part or seperate from it.,de,https://www.themoviedb.org/movie/1442795,N/A,Everyone
Satellites (with soundtrack version),1441730,2025-03-27,0,,"The reactive relationships of attraction and repulsion of the object and the body are expanded when a subtle edition effect is created, in which the space itself appears to participate in the movement of not only the object, but also the connected body and its reactions. The body is confused with the object and the object is confused with the body. In this environment where all the elements come to life, who controls who?",en,https://www.themoviedb.org/movie/1441730,N/A,Everyone
Dignidad,1441728,2025-03-27,0,,"Through interviews and the music of the beating of a fan in the summer heat the migrant domestic laborers and care working women of Territorio Doméstico articulate their struggle for labor rights, for the right to care and to be cared for, for a dignified life. Their voices, heard through testimonies, joyful celebrations and battle cries, make visible the women behind the essential labor that makes the world go round.",es,https://www.themoviedb.org/movie/1441728,N/A,Everyone
a_blurred_fluxx_00.avi,1441713,2025-03-27,0,,"Across Dallas, the Bay Area, and New York City, eleven Blackqueer folks engage in layered conversations and candid everyday moments of joy, melancholy, introspection, euphoria, loneliness, and community-in-active-formation. Their complex minds revel in the journey of becoming Blackqueer and exploring their endless coming of age.",en,https://www.themoviedb.org/movie/1441713,N/A,Everyone
Within these Halls,1430814,2025-03-27,0,Horror,Lucy after waking up in a random building faces a mysterious figure looking to harm her. Will she escape in time before its too late?,en,https://www.themoviedb.org/movie/1430814,N/A,Everyone
Deva,1447439,2025-03-28,3.5,"Action, Crime, Drama, Mystery, Thriller","Working on a complicated case, a fierce young police officer goes rogue to dismantle a lethal web of corruption and deceit — one epic battle at a time.",hi,https://www.themoviedb.org/movie/1447439,N/A,Everyone
Barren Land,1305273,2025-03-28,5.833,"Thriller, Crime","Barren Land is the story of three friends. All three trapped between the abandonment of the institutions, the violent and unstoppable rise of the narco in the province and the dangerous increase of social discontent. Three friends trapped in a powder keg that will test their friendship.",es,https://www.themoviedb.org/movie/1305273,N/A,Everyone
Kaiju No. 8: Mission Recon,1326106,2025-03-28,0,"Animation, Action, Science Fiction","In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.",ja,https://www.themoviedb.org/movie/1326106,N/A,Everyone
The Friend,1186563,2025-03-28,7,Drama,"Writer and teacher Iris finds her comfortable, solitary New York life thrown into disarray after her closest friend and mentor bequeaths her his beloved 150 lb. Great Dane. The regal yet intractable beast, named Apollo, immediately creates practical problems for Iris, from furniture destruction to eviction notices, as well as more existential ones. Yet as Iris finds herself unexpectedly bonding with Apollo, she begins to come to terms with her past, and her own creative inner life in this story of healing, love, and friendship.",en,https://www.themoviedb.org/movie/1186563,N/A,Everyone
Robinhood,1120762,2025-03-28,5.5,Action,"Ram, a modern-day Robin Hood, is a master thief who unexpectedly finds himself switching sides. When fate forces him to become the personal security officer for Neera, a rollercoaster ride of action, comedy, and unexpected twists follows.",te,https://www.themoviedb.org/movie/1120762,N/A,Everyone
The Ballad of Wallis Island,1122099,2025-03-28,7.5,"Comedy, Drama, Music","Eccentric lottery winner Charles lives alone on a remote island but dreams of hiring his favourite musician, Herb McGwyer, to play an exclusive, private gig. Unbeknownst to Herb, Charles has also hired Herb’s ex-bandmate and ex-girlfriend, Nell, with her new husband in tow, to perform the old favourites. As tempers flare and old tensions resurface, the stormy weather traps them all on the island and Charles desperately looks for a way to salvage his dream gig.",en,https://www.themoviedb.org/movie/1122099,N/A,Everyone
Disconnected 2,1442293,2025-03-28,6.5,Comedy,"Your favorite overstimulated family is back! Chile’s favorite manic mother Victoria has swung from one extreme to the other, and is now a full-on helicopter mom. At work, she also lands a coveted opportunity for her to take the kids with her for a new position in Miami. But Julian and Clara aren’t on board to leave their friends behind, and it’s a battle of the wits in this laugh out loud sequel.",es,https://www.themoviedb.org/movie/1442293,N/A,Everyone
Audrey's Children,1003083,2025-03-28,0,Drama,"Philadelphia. 1969. British physician, Dr. Audrey Evans, is newly recruited to a world-renowned children’s hospital and battles sexism, medical conventions, and the subterfuge of her peers to develop revolutionary treatments, purchase the first Ronald McDonald House for families of patients and, ultimately, impact the lives of millions of children around the world. Based on a true story.",en,https://www.themoviedb.org/movie/1003083,N/A,Mature
Mouseboat Massacre,1353333,2025-03-28,3,Horror,The story follows a young woman battling a drug addiction who suddenly begins to see a mutated mouse human hybrid who infests her life. Those around her begin to drop like flies.,en,https://www.themoviedb.org/movie/1353333,N/A,Everyone
A Night Like This,1237923,2025-03-28,0,"Romance, Drama","A stone-broke gay actor and a privileged screw-up with a failing business cross paths on a winter night and join forces in a quest around London to find a meaning to their miserable lives, but when their unlikely connection turns into something deeper, fears and demons from their past come to jeopardise the whole mission.",en,https://www.themoviedb.org/movie/1237923,N/A,Everyone
Thank You Very Much,1156328,2025-03-28,0,Documentary,"Andy Kaufman's provocative comedy often outraged audiences, challenging them to confront their own presumptions. Through never-before-seen footage and intimate recollections, filmmaker Alex Braverman explores Kaufman’s brief but impactful life and career. As the lines between performance and reality blur in our present age, Kaufman’s genius resonates more than ever.",en,https://www.themoviedb.org/movie/1156328,N/A,Everyone
Brighter Days Ahead,1447182,2025-03-28,10,"Fantasy, Science Fiction, Music","A short film accompanying the deluxe edition of ""Eternal Sunshine,"" marking Ariana Grande’s directorial debut. Peaches, now elderly, revisits Brighter Days Inc. to relive idealized versions of her memories before they are destroyed forever. Inspired by the film ""Eternal Sunshine of the Spotless Mind"" and a sequel to the ""We Can't Be Friends"" music video.",en,https://www.themoviedb.org/movie/1447182,N/A,Everyone
Tinsman Road,752880,2025-03-28,10,"Crime, Drama, Horror, Mystery",In the backwoods of New Jersey a young man navigates the serpentine mystery surrounding his long-missing sister and their family home.,en,https://www.themoviedb.org/movie/752880,N/A,Everyone
Day of Reckoning,1414048,2025-03-28,4,"Western, Action","Put-upon lawman John Dorsey is on the verge of losing his wife and his job as sheriff, so he posses up with bullish U.S. Marshall Butch Hayden to hold outlaw Emily Rusk hostage. A battle of wills ensues as Emily turns the posse on themselves, but as her marauding husband and his gang approach, Emily and John realize they will need each other to survive.",en,https://www.themoviedb.org/movie/1414048,N/A,Everyone
Darkest Miriam,1013855,2025-03-28,0,"Drama, Romance, Mystery","Miriam Gordon lives in a fog of grief while working in a downtown public library branch. When a burgeoning love-affair coincides with her receiving a series of oddly threatening letters, Miriam's sheltered existence is cracked open.",en,https://www.themoviedb.org/movie/1013855,N/A,Everyone
A Whale,1266675,2025-03-28,0,Mystery,"When Ingrid pulls the trigger, her victims don’t know who has shot. Her ability to infiltrate and disappear without leaving a trace makes her an unrelenting killer. But that power comes from another world.",es,https://www.themoviedb.org/movie/1266675,N/A,Everyone
Hyde,1245080,2025-03-28,0,"Drama, Thriller, Horror","Based on the classic novella by Robert Louis Stevenson, ""Hyde"" tells the story of successful defense attorney Edward Hyde, who has the perfect family to go along with his perfect job...even though he finds himself struggling to balance the two at times. Once a horrible tragedy strikes, Edward begins to go down a dark path that leads him to spiral out of control...transforming into something else entirely.",en,https://www.themoviedb.org/movie/1245080,N/A,Everyone
The Crossroads,1207497,2025-03-28,0,Drama,"Eighty-year-old Tadeusz lives a quiet life as a pensioner with his wife Helena. After years of working in a hospital, he wants to enjoy old age and his charming house with a garden, where they soon plan to hold their beloved granddaughter’s wedding. The idyll is shattered by a tragic car accident that casts a shadow over his marriage and reveals cracks in his relationship with his son.",pl,https://www.themoviedb.org/movie/1207497,N/A,Everyone
Magic of the Disney Treasure,1455357,2025-03-28,0,Documentary,"Go behind the scenes of Disney's new ship, from Moana's stage debut and the familia of Plaza de Coco to the illusions of a Haunted Mansion Parlor.",en,https://www.themoviedb.org/movie/1455357,N/A,Everyone
Twins Hinahima,1458643,2025-03-28,0,,Two girls dream of going viral on TikToker until they discover something strange in their videos.,ja,https://www.themoviedb.org/movie/1458643,N/A,Everyone
100 Liters of Gold,1204016,2025-03-28,10,Comedy,"Middle-aged sisters Taina and Pirkko are famous for their Finnish farmhouse ale called “sahti”.  The third sister, Päivi, is getting married, and she asks her sisters if they can make 100 liters of sahti for the wedding. Unfortunately, it’s too good not to drink it. The sisters wake up in a horrible hangover and realize they have drunk it all. They have 24 hours to find 100 liters of good sahti, or they will lose all the respect.",fi,https://www.themoviedb.org/movie/1204016,N/A,Everyone
My Love Story with Yamada-kun at Lv999,1420410,2025-03-28,0,"Comedy, Romance","Recently dumped, Akane is just about to quit the game she used to play with her boyfriend when she meets Yamada in the same RPG. Yamada, in real life, turns out to be somewhat of a legend. The only problem is - he is ONLY interested in the game. As Akane's feelings grow, will Yamada's focus stay on the game?",ja,https://www.themoviedb.org/movie/1420410,N/A,Everyone
Don't Hang Up,1383673,2025-03-28,5.333,"Horror, Thriller","Summer travels to Tulsa, Oklahoma, for the wedding of a college friend. Her boyfriend Chris couldn’t make it, but she keeps in contact with him via FaceTime. After the wedding, Summer and her two friends Vicky and Eva head back to the AirBnB they’ve rented for the weekend, unaware that their presence in the house has unleashed the ghosts of a family who were killed there during the Tulsa race massacre in 1921. Now, they’re looking for justice...",en,https://www.themoviedb.org/movie/1383673,N/A,Everyone
Caged Dog,1297611,2025-03-28,0,Drama,"A-He, who has intellectual disability, always hangs out with bad students. Class leader Jie volunteers to be A-He's tutor. She keeps persuading A-He to study hard and be a decent person, but she sets him up in the end.",zh,https://www.themoviedb.org/movie/1297611,N/A,Everyone
The Ghost,995045,2025-03-28,8,"Horror, Thriller, Mystery","Amid the barren landscape of post-famine Ireland, a father and daughter struggle to survive the brutal winter as caretakers of a remote mansion, only to be driven to the edge of sanity by the horrors lurking within.",ga,https://www.themoviedb.org/movie/995045,N/A,Everyone
A Dunces Burden,1411248,2025-03-28,0,,A Dunces Burden,en,https://www.themoviedb.org/movie/1411248,N/A,Everyone
Time Travel Is Dangerous!,1274163,2025-03-28,0,"Science Fiction, Fantasy, Comedy","Best friends Ruth and Megan run a vintage shop in North London. One day, their lives are forever turned upside down when an abandoned time machine appears outside their shop. Mixing reality with fantasy, we explore the strange and outlandish world of The Unreason, as the girls traverse space and time sourcing items to sell.",en,https://www.themoviedb.org/movie/1274163,N/A,Everyone
Diplodocus,1371477,2025-03-28,0,,"During a beach outing with a youth group, tragedy strikes when a young boy drowns due to a monitor’s oversight. Antoine, the grieving father, faces an agonizing decision: he has just eight hours to sign his son’s death certificate and confront the devastating truth of his loss. As time ticks away, he wrestles with overwhelming grief, guilt, and a battle between forgiveness and hatred, struggling to find a way forward in the face of unimaginable pain.",fr,https://www.themoviedb.org/movie/1371477,N/A,Everyone
Fury,1224668,2025-03-28,0,Drama,"Alex, a young actress, is sexually assaulted at a New Year’s Eve party at a friend’s house. That night, she never manages to see the face of her aggressor, a fact that will end up eating away at her. Throughout the following year, she will have to face feelings of guilt, disgust and shame.  While Alex tries to channel all her pain through theatre, where she takes on the role of the famously vengeful Medea, her brother, Adrian, must face the guilt he feels at not having been able to protect his sister and his impulse to let himself be carried away by his own decisions.  What were once the typical conflicts you might expect between any siblings, give way to much more extreme and complex emotions.",es,https://www.themoviedb.org/movie/1224668,N/A,Mature
Lady Sakura,1313616,2025-03-28,0,"Comedy, Drama, Romance",,es,https://www.themoviedb.org/movie/1313616,N/A,Everyone
Ex Door Neighbor,1456340,2025-03-28,0,"Thriller, TV Movie","An engaged couple’s perfect life unravels when one of their exes moves in next door, threatening their happiness with a hidden agenda.",en,https://www.themoviedb.org/movie/1456340,N/A,Everyone
Surga Di Telapak Kaki Bapak,1448927,2025-03-28,0,Drama,"After Imah died suddenly, Nawawi became head of the household  trying to fill the void left by Imah in taking care of her two children, Dinar  and Adi. However, Nawawi's efforts were not easy because those who felt the shock of loss Imah is not only her two children, but also herself, so all three are already there getting used to depending on Imah's figure becomes difficult in living his daily life.",id,https://www.themoviedb.org/movie/1448927,N/A,Everyone
Je Ne Sais Plus [What Is This Feeling] Studio Version,1441861,2025-03-28,0,,"A digital re-staging of an expanded cinema event, built on 27 10-second 16mm film loops that were constructed from optically printed found footage and direct laser animation techniques. An obstacle course leads to [DESTINY.] I meditate on the body’s materiality and the struggle to achieve personal sovereignty within its bounds.",en,https://www.themoviedb.org/movie/1441861,N/A,Everyone
Black Heat,1437627,2025-03-28,4,"Thriller, Crime, Drama","After failing to get help from authorities, two parents go on a suicide mission to rescue their fifteen-year-old daughter, who’s under the control of the enigmatic King David.",en,https://www.themoviedb.org/movie/1437627,N/A,Everyone
Janis Ian: Breaking Silence,1326654,2025-03-28,0,"Documentary, Music, History","In 1965, Janis Ian, a 14-year-old singer-songwriter from New Jersey, wrote “Society’s Child” about an interracial relationship. Recorded and released a year later, the song launched Ian's career, but its subject matter ignited controversy, even resulting in death threats. The fallout plunged Ian into an emotional tailspin–and yet a few years later she emerged from the ashes with an even bigger hit, “At Seventeen.”  Over six decades, Janis Ian gained ten Grammy nominations in eight different categories, saw her song “Stars” recorded by such luminaries as Nina Simone and Cher, and overcame homophobia, misogyny, and a life-threatening illness to produce an indelible body of work that continues to draw audiences around the globe. Featuring Janis Ian, Joan Baez, Jean Smart, Arlo Guthrie, Lily Tomlin, and Tom Paxton, among other icons.",en,https://www.themoviedb.org/movie/1326654,N/A,Everyone
Lion,1308576,2025-03-28,0,,No Logline.,bn,https://www.themoviedb.org/movie/1308576,N/A,Everyone
Meet Cute in Manhattan,1262407,2025-03-28,0,"Romance, Comedy","When an actor finds love with his co-star in a dating app commercial that unexpectedly goes viral, he finds himself at the center of the rom-com story he's always dreamed of.",en,https://www.themoviedb.org/movie/1262407,N/A,Everyone
"Charlotte, One of Us",1099947,2025-03-28,6.5,Drama,"Fourty-two year old Charlotte lives in seclusion with her father in Trentino. She is mentally impaired and lives in a world of her own. When her father is hospitalised for a heart attack, Charlotte's ten year younger brother, Leo, returns to the village after a decade's absence. He learns that his sister wants to leave and asks her to come to Switzerland with him.",de,https://www.themoviedb.org/movie/1099947,N/A,Everyone
The Encampments,1418174,2025-03-28,0,Documentary,"Students flooded Columbia University’s lawn to create the Gaza Solidarity Encampment in order to pressure their university to divest from the US and Israeli weapons companies. THE ENCAMPMENTS follows the central organizers of the encampment as they are thrust into the spotlight, face violent police repression and suspension, congressional pressure, and a media firestorm, all while fighting to attain their goal of divestment at any cost.",en,https://www.themoviedb.org/movie/1418174,N/A,Everyone
Ciao Ciao,1416991,2025-03-28,10,"Comedy, Drama","What begins as a simple reunion between old school friends escalates into a series of ""Ciao Ciao"" moments that unravel secrets, ignite new relationships, and trigger irreversible events.",mt,https://www.themoviedb.org/movie/1416991,N/A,Everyone
Üç Harfliler: Fal,1432726,2025-03-28,0,Horror,,tr,https://www.themoviedb.org/movie/1432726,N/A,Everyone
Under the Grey Sky,1252178,2025-03-28,0,Drama,"Based on true events, a Belarusian journalist is arrested after covertly livestreaming brutal government crackdowns on peaceful demonstrators following rigged elections. Her husband, refusing to leave her, also faces recriminations from a regime determined to break them both.",pl,https://www.themoviedb.org/movie/1252178,N/A,Everyone
The Land of NOMO,1455360,2025-03-28,0,"Animation, Drama, Adventure, Fantasy","Sora, a girl who once loved singing, became afraid to sing and lost her joy. One day, she and her little brother Daichi discovered a mystical butterfly at a magical pond called Mirror Pond. Drawn to its glow, Sora reached out but fell in, with Daichi following after. They found themselves in a mysterious world where they met a quirky girl named Rococo. Together, they embarked on an adventure through the Land of NOMO, where Sora began to confront the emotions she had buried deep inside.",ja,https://www.themoviedb.org/movie/1455360,N/A,Everyone
Ayakçı,1441607,2025-03-28,0,Comedy,,tr,https://www.themoviedb.org/movie/1441607,N/A,Everyone
How to Live,1436548,2025-03-28,0,,"In a country where queerness often lives in the shadows, Muthoni’s lens spotlights Nairobi’s radiant LGBTQIA+ youth creating their own ballroom culture. Through intimate portraits of drag performers and conversations with pioneers like artist Jim Chuchu, How to Live celebrates a community crafting spaces of liberation, defiance and pure African joy.",en,https://www.themoviedb.org/movie/1436548,N/A,Everyone
Geleia de Morango,1460915,2025-03-28,0,Music,,pt,https://www.themoviedb.org/movie/1460915,N/A,Everyone
När vi var samer,1449583,2025-03-28,0,Drama,When Mats' grandfather dies the family opens a wooden box containing evidence of the family's Sami heritage. Why has this been kept secret? Why did they stop being Sami? And why do they know so little about their history?,se,https://www.themoviedb.org/movie/1449583,N/A,Everyone
Bloodlines and Betrayal,1436880,2025-03-28,10,"Action, Drama, Mystery, Thriller",George fights his ex's ruthless twin brothers to reclaim his stolen dog.,en,https://www.themoviedb.org/movie/1436880,N/A,Everyone
ARCAD'ÁGUA,1381908,2025-03-28,0,"Drama, Romance, Animation",,pt,https://www.themoviedb.org/movie/1381908,N/A,Everyone
Olivia Rodrigo: Lollapalooza Brasil 2025,1456262,2025-03-28,10,Music,,pt,https://www.themoviedb.org/movie/1456262,N/A,Everyone
Keluarga Besar,1450364,2025-03-28,0,"Drama, Comedy","Pak Wahyu, who only worked as an electronic equipment repairman in a rented shop, was made dizzy by his wife and two children who are only busy with their own lives. There are rumors that Mrs. Wiwik is a fraud, Agung is a believer in black magic, and Ati is pregnant out of wedlock increasingly widespread in their flats. Pak Wahyu also tried to create a large family they were whole again and loved each other.",id,https://www.themoviedb.org/movie/1450364,N/A,Everyone
Tay 3: Endülüs,1457970,2025-03-28,0,,,tr,https://www.themoviedb.org/movie/1457970,N/A,Everyone
JPEGMAFIA: Lollapalooza Brasil 2025,1456836,2025-03-28,0,Music,,pt,https://www.themoviedb.org/movie/1456836,N/A,Everyone
In Wahrheit: Für immer dein,1456671,2025-03-28,0,"TV Movie, Crime",,de,https://www.themoviedb.org/movie/1456671,N/A,Everyone
The Dog,1235945,2025-03-28,0,"Thriller, Mystery, Drama","After the mysterious disappearance of their beloved dog, two teenagers face their parents, who, trying to solve the mystery, gradually fall into madness.",pl,https://www.themoviedb.org/movie/1235945,N/A,Everyone
Ano Yoru wo Sukui ni,1455977,2025-03-28,0,,"Childhood friends Asako and Hayato, once featured on ""Detective! Knight Scoop,"" face marital strains and their daughter's sudden disappearance. Their search leads them back to their old school, unraveling past memories and hidden emotions.",ja,https://www.themoviedb.org/movie/1455977,N/A,Everyone
Intermundium,1457998,2025-03-28,10,Mystery,,fr,https://www.themoviedb.org/movie/1457998,N/A,Everyone
Jean,1363202,2025-03-28,0,,Della searches for Jean amidst a late night house party.,en,https://www.themoviedb.org/movie/1363202,N/A,Everyone
Windless,1301874,2025-03-28,0,Drama,"Kaloyan returns home to handle the sale of his late father's apartment. At the beginning the process starts as a routine mundane task, but soon transcends into a journey of self-discovery that tries to track the connection between childhood trauma, memory and the passage of time.",bg,https://www.themoviedb.org/movie/1301874,N/A,Everyone
Lírios,1455242,2025-03-28,0,"Drama, Romance","Gabriel and Rita, a trans girl, have been friends since childhood. But a weekend trip to Chapada dos Guimarães could reveal the romance they insist on denying.",pt,https://www.themoviedb.org/movie/1455242,N/A,Everyone
Otto Lechner - Der Musikant,1414110,2025-03-28,0,Documentary,,de,https://www.themoviedb.org/movie/1414110,N/A,Everyone
